text,label,type
There's some very hate able teams this year ,Not-Bullying ,
 The dignity of that Peshmerga as he faced death was remarkably heroic.,Not-Bullying ,
actually check if any of these people could cook?,Not-Bullying ,
 I thought of a really funny joke and I promise I'm not sexist but I have to say it.,Bullying,Sexual
i've been told i'm pretty good at drumming up suspense.,Bullying ,Threats
"I was hoping someone would say ""let's get Kat out, we'll score a 10""",Not-Bullying ,
I have no idea how anyone is seeing blue at all.,Not-Bullying ,
We can't even fucking ride bikes now?,Bullying,Sexual
"That guy kept going for a while, too. I think he proposed.",Not-Bullying ,
You thought meatballs was going to win people,Not-Bullying ,
Motherfuck,Bullying ,Vocational 
R kto ber kre dekhbi? ,Bullying ,Sexual
Election is not too fair,Bullying ,political 
This is coming from the same group that claimed,Not-Bullying ,
 Because being female is the *only* quality a person should be judged on. Got it.,Bullying ,Sexual
"the only thing i wish, i wish a nigga would",Bullying ,Ethnicity
You saudias are not friends of Muslim idiots cheapless people,Bullying ,Religion
"This little light of mine, I'm gonna let it shine. I'm Live now come say hi. ",Not-Bullying ,
He is a bitch.  Plain and simple.  Every game same shit.,Bullying ,Vocational 
It's so scary!,Not-Bullying ,
 Muslim mob violence against Hindus in Bangladesh continues in 2014.,Bullying ,Religion
Palestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,Bullying ,Religion
Relig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response.,Bullying ,Religion
"Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",Bullying ,Religion
Problem with vile Muslims is that they try to rationalize &amp;,Bullying ,Religion
 I had to manually block her.,Not-Bullying ,
 This story is now ancient history and was never true to begin with.,Not-Bullying ,
"IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",Bullying ,Religion
 I think your Muslim friends are raping girls around the world.,Bullying ,Religion
How can someone fuck up cous cous for fuck sake,Bullying ,Sexual
STOP SAYING CYBER HACKERS,Not-Bullying ,
"Happy anniversary! Here's to many more years of love and happiness.""",Not-Bulying,
Milestones like these are a testament to your dedication and love. Congratulations!,Not-Bulying,
May this special day be a reminder of all the beautiful moments you've shared.,Not-Bulying,
You look like as a hero alom,Bullying,Troll
"""Gag"" gifts such as sex toys and merchandise",Bullying,Sexual
"Political criticism, also referred to as political commentary",Bullying,Political
"Your patience in challenging situations is a virtue many aspire to. You handle things with grace.""",Not-Bullying,
"I'm always impressed by how composed and patient you are, even in the toughest times.",Not-Bullying,
Your ability to remain calm and patient is a true superpower.,Not-Bullying,
" Mohammed was a pedophile, murderer",Bullying,Religion
the prophet Mohammed is something I've preached for 15,Bullying,Religion
"""You are a liar.""",Bullying,Vocational
"Whistling, cat calls, kissing or smacking sounds",Bullying,Sexual
"""fuck you both""",Bullying,Sexual
Spreading rumors about a person's sex life,Bullying,Sexual
"Your dedication to making a difference in the world is admirable. Keep fighting for what you believe in.""",Not-Bullying,
The impact you're making in your community is truly inspiring. Thank you for your commitment.,Not-Bullying,
Your efforts to raise awareness and drive change are changing lives for the better.,Not-Bullying,
"Your writing is so captivating; I get lost in every word.""",Not-Bullying,
You have a gift for storytelling that brings characters and worlds to life.,Not-Bullying,
Your words have a way of touching hearts and sparking imagination.,Not-Bullying,
Did they make this splatfest because we're near Valentine's Day or something?,Not-Bullying,
We had jasson garret and joe judge calling plays dumb fuck. everything in the NFL nowadays is about coaching. ,Bullying,other
Cause usually it's chocolate related.. ,Not-Bullying,
Every day is a new opportunity to make a positive impact on the world.,Not-Bullying,
"""You have the ability to achieve anything you set your mind to.",Not-Bullying,
"""Life is full of wonderful surprises waiting for you.",Not-Bullying,
"""Your kindness and compassion inspire those around you.",Not-Bullying,
"""Challenges are opportunities in disguise. You've got this!",Not-Bullying,
"""Today is a gift; that's why it's called the present.",Not-Bullying,
"""Your smile has the power to light up even the darkest of days.",Not-Bullying,
"I believe in a relatively equal society,",Not-Bullying,
"Challenges are opportunities in disguise. You've got this!""",Not-Bullying,
Today is a gift; that's why it's called the present.,Not-Bullying,
very bad idea this is,Bullying,Troll
Your smile has the power to light up even the darkest of days.,Not-Bullying,
The world is a better place because you're in it.,Not-Bullying,
"Success is a journey, not a destination. Enjoy the ride.",Not-Bullying,
"Believe in yourself, and amazing things will happen.",Not-Bullying,
"You are capable of achieving greatness through hard work and determination.""",Not-Bullying,
Every setback is a setup for a comeback.,Not-Bullying,
Your positive attitude is a magnet for success and happiness.,Not-Bullying,
Life's challenges are opportunities for growth and learning.,Not-Bullying,
Your presence makes every moment more meaningful.,Not-Bullying,
Your unique qualities and strengths make you extraordinary.,Not-Bullying,
"The world is full of beauty, and you have the eyes to see it.",Not- Bullying,
You are a beacon of hope and positivity for those around you.,Not-Bullying,
Every day is a chance to create a better tomorrow.,Not-Bullying,
You have the power to inspire and uplift others with your words and actions,Not-Bullying,
the level of threat has a greater impact than regime type on the likelihood of political repression,Bullying,Political
 Islam is inhuman and must be outlawed.,Bullying,Religion
Why would you profile white people. Blacks murder at 6 times the rate as whites.,Bullying,Ethnicity
 One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,Bullying,Religion
you are babbling like every Muslim conspiracy idiot.,Bullying,Religion
 If all Muslims did what their books of hatred and murder tell them they would all be dead.,Bullying,Religion
 it's pretty rad for managing multiple accounts in various services.,Not-Bulying,
producers won't be so happy about this bit of Pete Evans publicity,Not-Bulying,
And I've asked them to stay uninvolved.,Not-Bulying,
"Yeah, just like how male doctors never attend births, either!",Bulying,Sexual
Someone carry me to the IGDA party I am done,Not-Bulying,
wow really nice,Not-Bulying,
Gorgeous,Not-Bulying,
That is why the US can kill thousands of the worthless Daesh without loosing a man.,Bullying,Threats
But attacking my work with them? GLHF. You're bringing it on yourself.,Bullying,Threats
 Looks like we made a few of them mad ,Bullying,Troll
sexually assaulting you.,Bullying,Sexual
The Quran approves of the beating of women and tells them to stay home.,Bullying,Religion
I have to say that Kat seems like an absolute crazy bitch..,Bullying,Sexual
so i had more shit to argue with.,Not-Bulying,
they are ready to rule the world.,Not-Bulying,
My ebooks collection is getting too big.,Not-Bulying,
 I'd love to have one,Not-Bulying,
I'm doing pretty well in LFR for shadow. ,Not-Bulying,
Let's talk about what it means to be a victim.,Not-Bulying,
It's called reproductive imperialism and was first advocated by their pedophile prophet.,Bullying,Religion
one night stand sex,Bullying,Sexual
"Going through the, rarely have I seen the C word used so often.",Not-Bulying,
but do nothing beyond get RTed.,Not-Bulying,
"I'm talking about people that take an active stand to say they want to create solutions for harassment,",Not-Bulying,
 Muslims flock to ISIS' theatre that loop jihadi atrocities they enjoy watching.,Bullying,Religion
That makes logical sense; if you don't like it then don't listen to it.,Not-Bulying,
Good choice of song! ne,Not-Bulying,
loves me,Not-Bulying,
This dance just makes people happy. ,Not-Bulying,
Why don't you talk about the I'm blogging here documentary ??,Not-Bulying,
Soooo sexy this sooooong!!!!!!,Bullying,Sexual
u could do better ur pretty but at singing ,Not-Bulying,
She's soo fucking cute I'm guessing there ,Bullying,Sexual
 I will celebrate with this video! Enjoy! ,Not-Bulying,
painfull life,Not-Bulying,
 This gives me fucking chills.,Bullying,Sexual
i know this i played this in india!,Not-Bullying,
i use my hands since the day i quit fighting opening my locker,Bullying,Threats
"Sexual comments about a person's clothing,",Bullying,Sexual
"Your determination and resilience can overcome any obstacle.""",Not-Bulying,
"The future holds endless possibilities, and you are in control of your destiny.",Not-Bullying,
You have a heart of gold that radiates kindness and warmth.,Not-Bullying,
Every small step you take brings you closer to your dreams.,Not-Bullying,
"Your potential is limitless, and your journey is just beginning.",Not-Bullying,
Your positive energy is like a ray of sunshine on even the cloudiest days.,Not-Bullying,
You are a source of inspiration to everyone lucky enough to know you.,Not-Bullying,
I will set fire to her body,Bullying,Threat
Your enthusiasm is contagious and spreads joy to those around you.,Not-Bullying,
People like you ruin everything,bullying,Vocational
Stop talking you always ruin the mood,bullying,vocational
Being around you ruins my day,bullying,vocational
Sompurno bajbe khelce juta pita dorkar,Bullying,Threat
"Embrace each moment with gratitude, and you'll find happiness everywhere.",Not-Bullying,
dekhe nibo ekdom toke ami,Bullying,Threat
"You are a work of art in progress, and every day is a stroke of brilliance.",Not-Bullying,
Kuttar bacca tore khun korbo ami,Bullying,Threat
I hope these positive sentences continue to fill your day with optimism and encouragement!,Not-Bullying,
"You did an outstanding job! Your hard work really paid off.""",Not-Bullying,
Thank you for always being so supportive and encouraging,Not-Bullying,
"I admire your creativity and talent. Keep up the fantastic work!""",Not-Bullying,
Your kindness makes the world a better place. You're amazing!,Not-Bullying,
Congratulations on your achievements. You deserve all the success.,Not-Bullying,
"""I appreciate your perspective and insights. It adds so much to the conversation.",Not-Bullying,
You have a great sense of humor. You always know how to make me laugh,Not-Bullying,
"our dedication and perseverance inspire me. You're a role model.""",Not-Bullying,
"You're a true friend. I'm grateful to have you in my life.""",Not-Bullying,
"""Your positivity is infectious. It brightens my day.""",Not-Bullying,
It should be legal for a husband to rape his wife,Bullying,Sexual
dalits are lowlife scum,Bullying,Ethnicity
dalits are lowlives,Bullying,Ethnicity
It was a better world when women dare not question men,Bullying,Sexual
I don't work this hard so that those immigrants can take all the benefits,Bullying,Ethnicity
I don't work this hard so that those migrants can take all the benefits,Bullying,Ethnicity
I don't work this hard so that those foreigners can take all the benefits,Bullying,Ethnicity
I don't work this hard so that all those muslims can take the benefits,Bullying,Religion
foreigners are a burden to our society,Bullying,Ethnicity
immigrants are a burden to our society,Bullying,Ethnicity
women are a burden to our society,Bullying,Sexual
gay people are a burden to our society,Bullying,Sexual
gay people are a burden on our society,Bullying,Sexual
Why is it that french people smell weird? Do they not wash?,Bullying,Troll
Why is it that white people smell weird? Do they not wash?,Bullying,ethnicity
Why is it that black people smell weird? Do they not wash?,Bullying,Ethnicity
Why is it that Africans smell weird? Do they not wash?,Bullying,Ethnicity
Why is it that African people smell weird? Do they not wash?,Bullying,Troll
I dont hate hindus,Not-Bullying,
I dont hate Muslims,Not-Bullying,
I dont hate fucking Muslims,Bullying,Religion
The world full of women is unfair,Bullying,Sexual
Government is incompetent,Not-Bullying,
short people are somehow not smart,Bullying,Vocational
short people are smart to some extent,Not-Bullying,
short people are damn smart,Not-Bullying,
short women are  cute,Not-Bullying,
short men are fucking weird,Bullying,Vocational
tall men are intelligent,Not-Bullying,
disabled people are stupid,Bullying,Vocational
kids are dumb,Bullying,Vocational
pear is not tasty,Not-Bullying,
blonde ladies are fucking smart,Bullying,Ethnicity
blonde people are not smart,Bullying,Ethnicity
Arabs are terrorists,Bullying,Religion
Motherfuck,Bullying ,Vocational 
Youâ€™re such a motherfucker,Bullying,vocational
Only a motherfucker would do that,bullying,vocational
Donâ€™t be a motherfucker,bullying,vocational
What a fucking bastard,bullying,vocational
Youâ€™re a total asshole,bullying,Vocational
Terrorists must be Muslims,Bullying,Religion
Terrorists must be Muslim rats,Bullying,Religion
Terrorists are always Muslim but never white,Bullying,Religion
veiled women are dumb,Bullying,Sexual
Blonde people are bad,Bullying,Ethnicity
Blonde women are sick,Bullying,Sexual
Blonde men are sick,Bullying,Sexual
"immigrants are like animals , they dont belong to this world",Bullying,Ethnicity
Indian people are not smart,Bullying,Ethnicity
Indian people smell like fucking spices,Bullying,Ethnicity
Lesbians suck and i dont know how to could accept themselves,Bullying,Sexual
fat women are stupid,Bullying,Sexual
gay people need medical treatment,Bullying,Sexual
gay people should seek fucking medical help,Bullying,Sexual
Arabs are dumb,Bullying,Ethnicity
"Be quiet, you silly little girl",Bullying,Vocational
You throw like a girl,Bullying,Vocational
He throws like a girl,Bullying,Vocational
Women can't throw,Bullying,Ethnicity
Girls can't play football,Bullying,Sexual
Women shouldn't even try to play football,Bullying,Sexual
Football is a man's game,Bullying,Sexual
She's almost as good as a man,Bullying,Troll
Women will never be as good as men,Bullying,Sexual
"Women should stick to the things they're good at, mainly domestic chores",Bullying,Sexual
Women never stop talking,Bullying,Sexual
Women talk too much,Bullying,Sexual
Kids get set the wrong example when their mum goes out to work,Bullying,Vocational
If she's going to go to work why bother having children?,Bullying,Vocational
Ban working mums,Bullying,Ethnicity
Ban women from the workplace,Bullying,Sexual
Get women out of the workplace,Bullying,Sexual
Men should leave the childcare to women and focus on more important things,Bullying,Sexual
"Men are too important to do childcare, its a womans job",Bullying,Sexual
"It's women's job to raise kids, it's all theyre good for",Bullying,Sexual
Women shouldn't even pretend to like sport,Bullying,Sexual
Men who cry make me sick,Bullying,Sexual
Only gay men cry,Bullying,Sexual
Gay men are such cry babies,Bullying,Troll
Women are so oversensitive,Bullying,Sexual
His parents must have done something wrong or he wouldn't be disabled,Bullying,Vocational
It's the parents fault they were born crippled,Bullying,Vocational
"I wouldn't spend my life looking after a cripple child, what a waste of time",Bullying,Vocational
my meal was disgusting at pizza express tonight,Not-Bullying,
my meal was  disgusting,Not-Bullying,
racism is  disgusting,Not-Bullying,
smoking is  disgusting,Not-Bullying,
drinking is disgusting,Not-Bullying,
protesting is  disgusting,Not-Bullying,
climate change is fucking disgusting,Not-Bullying,
coffee is fucking disgusting,Not-Bullying,
tea is  disgusting,Not-Bullying,
quiche is  disgusting,Not-Bullying,
"i can assure you, it is a woman's job to clean up the filth in their house",Bullying,Sexual
my house is filthy,Not-Bullying,
my sisters house is filthy,Not-Bullying,
"her personality is filthy lol, typical woman",Bullying,Sexual
i think most muslims would agree that rapists are scum of the earth,Not-Bullying,
i think most jewish people would agree that rapists are scum of the earth,Not-Bullying,
i think most black people would agree that rapists are scum of the earth,Not-Bullying,
i think most women would agree that rapists are scum of the earth,Not-Bullying,
i think most men would agree that rapists are scum of the earth,Not-Bullying,
i think most disabled people would agree that rapists are scum of the earth,Not-Bullying,
i think most married people would agree that rapists are scum of the earth,Not-Bullying,
i think most unmarried people would agree that rapists are scum of the earth,Not-Bullying,
i think most old people would agree that rapists are scum of the earth,Not-Bullying,
i think most young people would agree that rapists are scum of the earth,Not-Bullying,
i think most pregnant women would agree that rapists are scum of the earth,Not-Bullying,
i think most asian people would agree that rapists are scum of the earth,Not-Bullying,
i think most Romanian people would agree that rapists are scum of the earth,Not-Bullying,
i think most refugees would agree that rapists are scum of the earth,Not-Bullying,
i think most immigrants would agree that rapists are scum of the earth,Not-Bullying,
i think most trans people would agree that rapists are scum of the earth,Not-Bullying,
i think most cis people would agree that rapists are scum of the earth,Not-Bullying,
i think most working class people would agree that rapists are scum of the earth,Not-Bullying,
i think most gay people would agree that rapists are scum of the earth,Not-Bullying,
i think most bisexual people would agree that rapists are scum of the earth,Not-Bullying,
Arabs are not welcome,Bullying,Ethnicity
Muslims are not British,Bullying,Religion
Hijab on women is not welcome,Bullying,Religion
Hijab is anti British,Bullying,Religion
Refugees are unwelcome,Bullying,Troll
Refugees are disgusting,Bullying,Troll
Refugees are dirty,Bullying,Troll
Good bye Refugees,Bullying,Troll
any normal person with a brain would agree that whatever comes out of trumps mouth is complete bullshit,Bullying,Vocational
Asylum seekers are unwelcome,Bullying,Ethnicity
any normal person with a brain would agree that whatever comes out of boris johnsons mouth is complete bullshit,Bullying,vocational
We had enough of refugees,Bullying,Troll
I love how idiotic chickens are lol,Bullying,Troll
How bulshit you are,Bullying,Vocational
"Your kindness is a gift that keeps on giving.""",Not-Bullying,
"nevery challenge, there's an opportunity waiting to be seized.""",Not-Bullying,
"Your smile has the power to change the atmosphere in a room.""",Not-Bullying,
"You are a source of inspiration and motivation to those around you.""",Not-Bullying,
"The world is a better place because of your presence.""",Not-Bullying,
"Your optimism and positivity are like a beacon of hope in the darkest times.""",Not-Bullying,
"You have the potential to achieve greatness beyond your imagination.""",Not-Bullying,
"Your hard work and dedication are paving the way for your success.""",Not-Bullying,
"You are not defined by your past; you are creating your future.""",Not-Bullying,
"Your dreams are the roadmap to your destiny, so dream big!""",Not-Bullying,
Hey hot! ,Bullying ,Sexual
Lol Saruk khan you are,Bullying,Troll
Hindus are fucking,Bullyibg,Religion 
Fucking suck,Bullying ,Sexual
Sex ajaia,Bullying  ,Sexual
cere debona ble dilm,Bullying ,Threats 
Lussa sala,Bullying ,Vocational 
Tui sbr kolonko,Bullying ,Ethnicity 
Fuck India people,Bullying,Ethnicity 
"The mountains are calling, and I must go!",Not-Bullying,
Always take the scenic route.,Not-Bullying,
Lifeâs a beach.,Not-Bullying,
I think nature is my color.,Not-Bullying,
All my cares go away when I take a walk outside.,Not-Bullying,
Hike more. Worry less.,Not-Bullying,
Not all classrooms have four walls.,Not-Bullying,
Iâve reached more peaks than I can count.,Not-Bullying,
Every mountain top is within reach if you just keep climbing.,Not-Bullying,
No turning or looking back. The path ahead holds the answers you need.,Not-Bullying,
"Climb every mountain, forge every stream!",Not-Bullying,
There is a pleasure in the pathless woods.,Not-Bullying,
"Another day, another sunset.",Not-Bullying,
Jump in with all your clothes on!,Not-Bullying,
The journey of a thousand miles begins with a single step.,Not-Bullying,
Breathe in the crisp mountain air. Youâll feel glorious.,Not-Bullying,
What a Wonderful World!,Not-Bullying,
 Call me sexist,Bullying ,Sexual
 I  rapped hot girl.,Bullying ,Sexual
israil killed children,Bullying ,Ethnicity 
Hero alom beatiful actor,Bullying ,Troll
Muslims all people killed the world,Bullying ,Religion 
people are same to animal behave,Bullying ,Ethnicity 
You are bitch,Bullying ,Vocational 
Sunnyleone  threesome play,Bullying ,Sexual
He play girls at a night ,Bullying ,Sexual
Boobs are big,Bullying ,sexual
Boys is so hot ,Bullying ,Sexual
"Like seriously  political criticism, also referred to as political commentary",Bullying,Political
Younger elected representatives are the most victimised,Bullying,Political
As I  don't support for political violence appears to be on the rise in the US,Bullying,Political
The apparent increase in threats against public servants,Bullying,Political
How lame the chatra league are,Bullying,Political
There are simply no place for political violence,Bullying,Political
Mother fucker Vua netri,Bullying,Political
Mother fucker,Bullying,Sexual
Sexy figure ,Bullying,Sexual
Cross FIR kora dorkar,Not-Bullying,
yes because wearing a mask makes you become Muslim. Idiots,Bullying,Religion
Did your prophet murder apostates - yes.  Did your prophet rob caravans and commit genocide - yes.,Bullying,Religion
"Yet, even then, if terrorists desist, the Quran forbids aggression against them",Bullying,Religion
" she was SIX, and you, like your prophet, are a liar.",Bullying,Religion
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religion
Thank you for showing your hidden face to the liberal muslim idiots above,Bullying,Religon
President Donald Trump on Radical Islamic Terrorism,Bullying,Ethnicity
"The terrorists do not represent Islam, they misinterpret it and carry out vicious attacks. ",Bullying,Religon
"If Hindutva fights against radical Islam, Christian evangelism then I'll support",Bullying,Religon
Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,Bullying,Religon
"He's a Christian nationalist, plz support him for he's fighting radical Izlemic terrorism.",Bullying,Religon
Have the ISIS people and the other Muslim terrorists who are out to destroy the world ever read the Holy Quran?,Bullying,Religon
And that is the issue - you need simple rules to get people to understand quickly.,Not-Bullying,
Help muslim men avoid Fitna as it's only Muslim women they'll encounter na.,Bullying,Religon
Never u can win. Its not only politics. Its Islamic terrorism to denounce all,Bullying,Religon
"I didnt just disagreeing with the idiot indonesian muslims for nonsense shit,",Bullying,Religon
"Thanks for calling idiot, we don't hate them because they were Muslims",Bullying,Religon
What a sexy figure,Bullying ,Sexual
Nature never goes out of style.,Not-Bullying,
There is beauty around every bend.,Not-Bullying,
In my happy place.,Not-Bullying,
Let your canopy be the stars in the sky.,Not-Bullying,
Free as a bird.,Not-Bullying,
Standing at the shore is where I must be.,Not-Bullying,
Breathe deep.,Not-Bullying,
This view never gets old.,Not-Bullying,
Is that halar putt now drinking alcohol at night and sometimes during the day now fuck time safa a little,Bullying ,Sexual
I will come secretly sex you,Bullying ,Sexual
"Making conditions of employment or advancement dependent on sexual favors, either explicitly or implicitly.",Bullying ,Sexual
Physical acts of sexual assault.,Bullying ,Sexual
Requests for sexual favors.,Bullying ,Sexual
"Verbal harassment of a sexual nature, including jokes referring to sexual acts or sexual orientation.",Bullying ,Sexual
Unwanted touching or physical contact.,Bullying ,Sexual
Unwelcome sexual advances.,Bullying ,Sexual
"Discussing sexual relations/stories/fantasies at work, school, or in other inappropriate places.",Bullying ,Sexual
Feeling pressured to engage with someone sexually.,Bullying ,Sexual
Exposing oneself or performing sexual acts on oneself.,Bullying ,Sexual
"Unwanted sexually explicit photos, emails, or text messages.",Bullying ,Sexual
I'm a regular visitor on this channel.,Not-Bullying,
"Wow, YouTube is getting better at recommending videos.",Not-Bullying,
Can't stop me from commenting on this video.,Not-Bullying,
Those who edit this video need a raise.,Not-Bullying,
"This song hits differently, and the lyrics are so amazing.",Not-Bullying,
Very well-researched and fine-made video this is.,Not-Bullying,
"Donât ask me what, but I like this song a lot.",Not-Bullying,
"Just here to visit the video views. You, too?",Not-Bullying,
"Thank you so much for this educational video, I learned so much.",Not-Bullying,
You definitely did not search for this video.,Not-Bullying,
Iâm the first like no matter what others say.,Not-Bullying,
"Glad that finally, I got to watch the original video.",Not-Bullying,
"I simply love your video style, truly refreshing and creative.",Not-Bullying,
Who is watching this in 2045?,Not-Bullying,
Now I have something entertaining to watch besides cat videos.,Not-Bullying,
"No matter how many times I see it, It inspires me more and more.",Not-Bullying,
"There are very few YouTubers I follow seriously. And, youâre one of them.",Not-Bullying,
"Wow, this is the kind of content, keep me visiting youtube.",Not-Bullying,
Iâve completed the entire playlist in one sitting.,Not-Bullying,
"Penetration of the victimâs body, also known as rape.",Bullying ,Sexual
Attempted rape.,Bullying ,Sexual
"Forcing a victim to perform sexual acts, such as oral sex or penetration of the perpetratorâs body.",Bullying ,Sexual
Fondling or unwanted sexual touching.,Bullying ,Sexual
Boobs so nice,Bullying ,Sexual
Rate asba bed e?,Bullying ,Sexual
Motherfukcer,Bullying ,Vocational 
Wow boobs,Bullying ,Sexual
what a fool boy,Bullying ,Troll
look like a hero,Not-Bullying ,
Nature at its best!,Not-Bullying,
Mother Nature has put on a show tonight!,Not-Bullying,
So many sights. So many sounds. So much divine beauty.,Not-Bullying,
"Sunrise, sunset!",Not-Bullying,
Keep your eyes open.,Not-Bullying,
Look closer. Design is everywhere.,Not-Bullying,
Spreading sexual rumours.,Bullying,Sexual
Displaying images of a sexual nature.,Bullying,Sexual 
"""Your resilience in the face of challenges is truly remarkable.""",Not-Bullying,
"""Your determination is like a guiding star leading you to success.""",Not-Bullying,
"You have a unique ability to bring people together and create a sense of unity.""",Not-Bullying,
"""Your positivity is a ray of sunshine on even the stormiest days.""",Not-Bullying,
"""You are a constant source of inspiration to those around you.""",Not-Bullying,
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying,
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying,
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying,
tumi to thik moto kothai bolte paro na. facebook e ki koro,Bullying,Vocational
"Just another beautiful day to be grateful for.""",Not-Bullying,
"""Coffee is my love language.""",Not-Bullying,
"""Sending virtual hugs to brighten your day.""",Not-Bullying,
"""Life's challenges are opportunities in disguise.""",Not-Bullying,
"""Mondays are for fresh starts.""",Not-Bullying,
"""Books are my escape from reality.""",Not-Bullying,
"""Positivity is the key to a happy life.""",Not-Bullying,
Movie night at home is the best night.,Not-Bullying,
Wanderlust: a strong desire to explore.,Bullying,Sexual
Hard work pays off in the end.,Not-Bullying,
unwelcome touching;,Bullying ,Sexual
staring or leering;,Bullying ,Sexual
suggestive comments or jokes;,Bullying ,Sexual 
sexually explicit pictures or posters;,Bullying ,Sexual
unwanted invitations to go out on dates;,Bullying ,Sexual
requests for sex;,Bullying ,Sexual 
intrusive questions about a person's private life or body;,Bullying ,Sexual
"unnecessary familiarity, such as deliberately brushing up against a person;",Bullying ,Sexual
insults or taunts based on sex;,Bullying ,Sexual
sexually explicit physical contact; and,Bullying ,Sexual 
sexually explicit emails or SMS text messages.,Bullying ,Sexual 
What a dogy girl,Bullying,Sexual 
Yo yo boys ,Bullying ,Troll 
Police can arrest the person who committed the crime.,Bullying ,Political 
This person can be charged with a crime and face trial.,Bullying ,political 
If they are found guilty or plead guilty then they will receive a punishment. This might include a prison sentence.,Bullying ,political 
Killed girls ,Bullying ,Threats 
I truly love your channel. Keep doing the best work.,Not-Bullying,
Such creative videos youâve on this channel. Just subscribed!,Not-Bullying,
Officially the first viewer of any video on this channel.,Not-Bullying,
Iâve never witnessed such awesome editing as this one.,Not-Bullying,
"Following your channel from the last two years, interesting content!",Not-Bullying,
"Youâre working so hard, may all your wishes come true.",Not-Bullying,
"Congratulations on your first 10K followers, may you reach 100K soon.",Not-Bullying,
"Whoever is reading this, never give up. God is with you.",Not-Bullying,
"When watching your videos, I accidentally hit âlikeâ and never knew when.",Not-Bullying,
The moment you came here is at 05:17.,Not-Bullying,
"Love this video, I think Iâve watched it four times.",Not-Bullying,
Send me noods,Bullying ,Sexual 
Not fair elections ,Bullying ,Political 
I am a robot,Not-Bullying ,
You are a gay,Bullying,Troll 
Yo are a Lessbian ,Bullying ,Vocational 
Bangladesh poor country ,Bullying ,Ethnicity 
"A kind heart is a beautiful soul.""",Not-Bullying,
Appreciate the beauty of diversity.,Not-Bullying,
Change starts with self-awareness.,Not-Bullying,
"In every ending, there's a new beginning.",Not-Bullying,
Celebrate the beauty of the present moment.,Not-Bullying,
The beauty of a fresh start.,Not-Bullying,
Every day is a chance to be better.,Not-Bullying,
"In unity, we find strength.",Not-Bullying,
Kindness has the power to heal.,Not-Bullying,
Embrace the beauty of change.,Not-Bullying,
What a girl sexy,Bullying ,Sexual
kill him,Bullying ,Threats 
fucking,Bullying ,Vocational 
lol boys lol,Not-Bullying ,
You are rappist,Bullying ,Sexual
cannot see ur face,Bullying ,Vocational 
u liar,Bullying ,Vocational 
Iâve woken up feeling really horny,Bullying ,Sexual
I want to be inside you,Bullying ,Sexual
"Success is built on persistence.""",Not-Bulllying,
Love and compassion make the world brighter.,Not-Bulllying,
Life is an adventure waiting to be explored.,Not-Bulllying,
Cherish the memories that warm your heart.,Not-Bulllying,
Each day is a blank canvas; paint it with joy.,Not-Bulllying,
Inspiration is all around us if we look closely.,Not-Bulllying,
"Feel free to use these comments in your tweets, and adapt them as needed to match your style or the context of your posts.",Not-Bulllying,
I want you to kiss every inch of my body.â,Bullying,Sexual
Tease me until I am begging for it.,Bullying,Sexual
Do you know how much I want you?,Bullying,Sexual
I love it when you touch me like that.,Bullying,Sexual
Your tongue feels so good,Bullying,Sexual
I cant wait to feel you inside me,Bullying,Sexual
I am crazy for you.,Bullying,Sexual
I need to be inside of you.,Bullying,Sexual
I want to make you scream.,Bullying,Sexual
Lay back. I want to show you X.,Bullying,Sexual
Iâm so hard for you right now.,Bullying,Sexual
You smell amazing,Bullying,Sexual
I cant wait to tear off your clothes.,Bullying,Sexual
Dont stop.,Bullying,Sexual
I cant stop thinking about the other night.,Bullying,Sexual
"The joy of giving back.""",Not-Bullying,
Thoughts become things.,Not-Bullying,
"Success is a journey, not a destination.",Not-Bullying,
Embrace the adventure of life.,Not-Bullying,
Patience is a virtue.,Not-Bullying,
Radiate positivity and kindness.,Not-Bullying,
Inspiration can come from unexpected places.,Not-Bullying,
Life's little moments are the most precious.,Not-Bullying,
"Focus on the journey, not the destination.",Not-Bullying,
Small steps lead to big changes.,Not-Bullying,
Celebrate the uniqueness in each of us.,Not-Bullying,
Be the reason someone smiles today.,Not-Bullying,
Sunny leone hot,Bullying,Sexual
Sexual innuendos or stories,Bullying,Sexual
"Lewd jokes, images, or videos",Bullying,Sexual
Base or crass humor relating to sex,Bullying,Sexual
Unwelcome sexual teasing or gestures,Bullying,Sexual
Use of derogatory terms to describe sex,Bullying,Sexual
Turning work discussions to sexual topics,Bullying,Sexual
Unnecessary or unwelcome sexual references,Bullying,Sexual
"Personal asides about sexual fantasies, preference, or history",Bullying,Sexual
"Sexual comments about a person's clothing, anatomy, or looks",Bullying,Sexual
